name_x,year,count
spring turkey,1914.0,1
salted pecans,1914.0,2
"toast, dipped",1914.0,1
salad de saison,1914.0,1
stewed rhubarb,1913.0,12
florida orange,1913.0,3
liptauer cheese,1913.0,1
salt mackerel,1913.0,16
eggs with bacon,1913.0,1
stewed rhubarb,1912.0,12
italian salad,1912.0,1
honey ice cream,1912.0,1
florida orange,1912.0,4
salt mackerel,1912.0,2
scrambled eggs,1912.0,4
kidneys broiled,1912.0,1
roast chicken,1912.0,6
fried potatoes,1912.0,1
pommes chateau,1912.0,1
stuffed olives,1912.0,1
buttered toast,1912.0,2
filet of beef,1912.0,1
french crullers,1912.0,4
"potatoes, baked",1912.0,3
hathorn waters,1912.0,3
"chicken, half",1912.0,2
spring turkey,1912.0,1
parsnip cakes,1912.0,2
cold consomme,1912.0,2
blackberry pie,1912.0,6
new corn on cob,1912.0,1
cheddar cheese,1912.0,3
kieler sprotten,1912.0,2
tomate potage,1912.0,4
creme caramel,1912.0,5
punch romaine,1912.0,1
salted pecans,1913.0,1
"prunes, stewed",1913.0,2
orange sherbet,1913.0,1
dull prydeinig,1913.0,1
buttered toast,1913.0,11
english walnuts,1913.0,4
assmannshaeuser,1913.0,1
"chablis, white",1913.0,3
blue point stew,1913.0,4
"potatoes, baked",1913.0,4
calisaya bark,1913.0,3
virginia bacon,1913.0,1
zaza cocktail,1913.0,1
"pommard, 1893",1913.0,1
scrambled eggs,1913.0,10
milk crackers,1913.0,5
pineapple pie,1913.0,1
stuffed tomato,1913.0,10
crab cocktail,1913.0,5
stuffed olives,1913.0,7
"omelet, cheese",1913.0,4
"chicken, half",1913.0,1
roast chicken,1913.0,2
puree of peas,1913.0,1
kidneys broiled,1913.0,3
cream of wheat,1913.0,4
congress water,1913.0,7
blackberry pie,1913.0,17
half cantaloupe,1913.0,16
broiled poussin,1913.0,1
corn on the cob,1913.0,3
peach tapioca,1913.0,1
cold consomme,1913.0,3
chocolate torte,1913.0,2
chateau lafitte,1913.0,4
crème vanille,1913.0,2
château lafite,1913.0,1
black and white,1913.0,1
rock perfectos,1913.0,1
filet à lœuf,1913.0,1
